rownumber,id,name,address,license desc,business desc,lat,lon,the_geom,state,county,tract,block,geoid,name,tract_block
844,2458480-20160901,"RYUU GROUP, LLC",2766 N MILWAUKEE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.93137064,-87.71141818299999,"MULTIPOLYGON (((-87.67005800004982 41.74844899969105, -87.66969600009834 41.7484539997297, -87.66945399983834 41.74845800027112, -87.66944500058747 41.74809299928408, -87.66941800015617 41.74699900006991, -87.6694100007883 41.74663499966649, -87.66965199952854 41.746631999499506, -87.67001400057791 41.74662800079136, -87.67005800004982 41.74844899969105)))",17,31,710500,3006,170000000000000.0,Block 3006,7105003006
902,42149-20161016,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.867484227,-87.61915038299999,"MULTIPOLYGON (((-87.62518299922137 41.77512600017116, -87.62540400007516 41.7751739997751, -87.62584200056891 41.775295000277495, -87.62607300035388 41.7753710000336, -87.62633900002406 41.77547399942325, -87.62662200088668 41.7755999997461, -87.62681599993275 41.7756999998851, -87.62707799959234 41.7758499994808, -87.62750799949772 41.77612699962494, -87.62760999966707 41.77619599931308, -87.62812300064358 41.77654499978163, -87.62848400031463 41.77678500020421, -87.62892599987315 41.77709199918092, -87.62923199994266 41.77733599971573, -87.62922399923252 41.77735299982712, -87.62937400093095 41.777463999328766, -87.62961799942092 41.77769899977901, -87.62965699952703 41.77774900045384, -87.62922000013553 41.77773300038186, -87.62907399970173 41.7777279998405, -87.62874699972251 41.777720999628215, -87.6284499995217 41.77771500007968, -87.62658000072126 41.77767699937381, -87.62595699976237 41.77766499971752, -87.62582500073849 41.77766699959421, -87.6254310001384 41.7776740001076, -87.62529999926241 41.7776769995246, -87.62527799993732 41.777563999795206, -87.62526199942074 41.77742899991483, -87.62524699933854 41.777303000753754, -87.62523200045558 41.77703999979106, -87.62522599920132 41.77667800067661, -87.62522299986136 41.77642799916072, -87.62522099991709 41.776213000645875, -87.62518699995124 41.77534400024295, -87.62518699999637 41.77533000060006, -87.62518400011307 41.77517300044952, -87.62518399986618 41.77514699995229, -87.62518299922137 41.77512600017116)))",17,31,842500,1018,170000000000000.0,Block 1018,8425001018
1000,1848301-20161016,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.873659257,-87.62435949799999,"MULTIPOLYGON (((-87.6375650004616 41.89474700004148, -87.63755399962936 41.894343000213716, -87.63853400016899 41.89433100003211, -87.63853800006187 41.89457300006283, -87.63854099925715 41.89473399959718, -87.63825800012626 41.89473700025293, -87.6375650004616 41.89474700004148)))",17,31,81800,1006,170000000000000.0,Block 1006,818001006
1014,1848307-20161016,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.873659257,-87.62435949799999,"MULTIPOLYGON (((-87.76769500029329 41.9380750006282, -87.76769899998521 41.93819399946805, -87.7677039997545 41.938318000085474, -87.76771200000707 41.938560000640905, -87.76746899912663 41.93856200037841, -87.7667420000858 41.93857200027324, -87.76649999957402 41.93857500046621, -87.76649099935017 41.938339000123015, -87.76648600038408 41.938209999905546, -87.76648200038892 41.938102999775765, -87.76671000015368 41.9380890004711, -87.76769500029329 41.9380750006282)))",17,31,190402,1000,170000000000000.0,Block 1000,1904021000
1100,1848299-20161016,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.873659257,-87.62435949799999,"MULTIPOLYGON (((-87.69253099952996 41.79189599958346, -87.69228600061656 41.79189899942183, -87.69191699961432 41.791904999705594, -87.691859999333 41.790125000091145, -87.69186500037928 41.7900799994313, -87.69223399966963 41.79007299989344, -87.69247800030543 41.79006999998835, -87.69248800042106 41.79043499961165, -87.69252000082027 41.791529999592164, -87.69253099952996 41.79189599958346)))",17,31,835100,4005,170000000000000.0,Block 4005,8351004005
1106,1575420-20161016,ELEVEN CITY DINER LLC,1112 S WABASH AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.868834105,-87.62600895,"MULTIPOLYGON (((-87.6714009993351 41.95105300030748, -87.67079799957011 41.95106100047798, -87.67019499966707 41.95106900018105, -87.6701929994069 41.95098899969185, -87.67018699966191 41.950723999654045, -87.67017699934581 41.9506239998321, -87.67038799919798 41.95061899981071, -87.67041899976161 41.950617999378856, -87.67114600078641 41.95060999979228, -87.67138899931503 41.950607999616906, -87.67139800013764 41.95097299947965, -87.6714009993351 41.95105300030748)))",17,31,60300,1027,170000000000000.0,Block 1027,603001027
1113,51615-20150716,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.69994200050188 41.92767800049089, -87.6999490009326 41.92785700037349, -87.69995199973822 41.927923999991755, -87.69996099954258 41.92817000027065, -87.69971500073054 41.92817099920384, -87.69897799903758 41.928178000322504, -87.69873300034445 41.92818099961841, -87.69872600007339 41.92793700004029, -87.69872299947106 41.927867999839044, -87.69871800036354 41.92769300032962, -87.69932499995531 41.92768599977547, -87.69994200050188 41.92767800049089)))",17,31,220400,1012,170000000000000.0,Block 1012,2204001012
1122,51615-20070816,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.61037300007723 41.83473799925858, -87.61036999956798 41.8346469994099, -87.61036199971848 41.83437399985756, -87.61036199961359 41.83435700040467, -87.61036699960523 41.83429900000862, -87.61037700011236 41.83428800039118, -87.6103849992868 41.83428100012244, -87.61040899983763 41.834269999486445, -87.61065600000825 41.8342660005044, -87.61151100072826 41.83425299989102, -87.6117960003531 41.83424900046406, -87.61180399926397 41.834306000365935, -87.61178599928863 41.83434999979538, -87.61173500049065 41.83448200071285, -87.61168199979551 41.83460399967644, -87.61165700015073 41.83463600029673, -87.61165500007513 41.83463700062032, -87.611591999808 41.834679999686195, -87.6115650004015 41.83469099973099, -87.6115000003348 41.83471299999095, -87.61140900044012 41.83472400022315, -87.61133000020854 41.834725000030616, -87.61061200093653 41.83473400044306, -87.61037300007723 41.83473799925858)))",17,31,351000,1006,170000000000000.0,Block 1006,3510001006
1124,51615-20110716,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.67775199962114 41.88131199946105, -87.67762399946572 41.88130799954196, -87.6774489992452 41.88130299998157, -87.67688700026501 41.88130999963322, -87.67664199969671 41.8813140000487, -87.676636000178 41.88105300005348, -87.6766180000214 41.8802730008243, -87.67661200004879 41.88001300015756, -87.67683300063067 41.88000900035379, -87.67690600006694 41.88000899988312, -87.67720000004881 41.88000499975604, -87.67743199993302 41.88000100041939, -87.67749599987329 41.88000100039322, -87.6777179998045 41.88000199968708, -87.67781700001936 41.879996000440286, -87.67783300030959 41.87999599993501, -87.67783799982142 41.880224000305475, -87.67783799985023 41.88025499995821, -87.67784399989908 41.88045099979629, -87.67784899993909 41.88064300000575, -87.6778540000017 41.8808350002088, -87.67786000021982 41.881034999343214, -87.67786199953727 41.88106500022015, -87.67786900036475 41.881294999923696, -87.67775199962114 41.88131199946105)))",17,31,838000,1000,170000000000000.0,Block 1000,8380001000
1154,1848304-20161016,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.873659257,-87.62435949799999,"MULTIPOLYGON (((-87.75595800029522 41.87293499982253, -87.75668599950902 41.87292499927748, -87.7568930005186 41.87292199952302, -87.75741500019019 41.872916000321595, -87.75742200026689 41.87311500063393, -87.75742399976097 41.87316400017477, -87.75743399989322 41.87341299991408, -87.75603599985394 41.873432000021715, -87.75597500008341 41.873404000596544, -87.75595800029522 41.87293499982253)))",17,31,252102,3014,170000000000000.0,Block 3014,2521023014
1170,1905283-20160916,"DAMENZO'S, INC.",2322-2324 W TAYLOR ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,41.869107738000004,-87.68458375799999,"MULTIPOLYGON (((-87.68230999983065 41.95090599987947, -87.6829200004039 41.95089599997018, -87.68295199952355 41.95227800017173, -87.68258900038474 41.952281999786805, -87.68234799981502 41.9522850001434, -87.6823370006233 41.9519200006079, -87.68230999983065 41.95090599987947)))",17,31,50500,2018,170000000000000.0,Block 2018,505002018
1189,51615-20020516,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.63980599976578 41.91109599960003, -87.63980399977784 41.911028999837505, -87.64101400084108 41.91100899983288, -87.64101700010377 41.911076000199266, -87.64045799934706 41.91108500000965, -87.64032700011532 41.91108600024076, -87.63993599974937 41.91109299968556, -87.63980599976578 41.91109599960003)))",17,31,80400,1001,170000000000000.0,Block 1001,804001001
1193,51615-20031116,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.65854100056153 41.690392999545324, -87.65853300004592 41.69017799993802, -87.65852199953625 41.6898609995449, -87.65920900010211 41.68984800003405, -87.65934400033953 41.6898489998317, -87.65934300049061 41.690080000220156, -87.65935199946406 41.69038200032459, -87.65886399909161 41.69038799969769, -87.65854100056153 41.690392999545324)))",17,31,750600,4015,170000000000000.0,Block 4015,7506004015
1194,15544-20161016,SAM'S CUT RATE FOOD & LIQ INC,500 E 75TH ST 1ST,Package Goods,Retail Sales of Packaged Liquor,41.758563433,-87.612617874,"MULTIPOLYGON (((-87.65858100051047 41.69170900043373, -87.65777100001159 41.691717000019985, -87.65774600083664 41.69085499976395, -87.65855699966481 41.69084399986113, -87.65858100051047 41.69170900043373)))",17,31,750600,4014,170000000000000.0,Block 4014,7506004014
1272,51615-20040816,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.64432099985838 41.761564000722224, -87.64407600017876 41.761567000559566, -87.64377399943224 41.761570999311814, -87.64374700050004 41.760651000688014, -87.6437280007263 41.7598100006339, -87.64373099989689 41.759749000384396, -87.64403000042344 41.759746000236305, -87.64427499944003 41.75974500017951, -87.64428399966164 41.760107999797135, -87.64431099993209 41.76119999940525, -87.64432099985838 41.761564000722224)))",17,31,681300,3003,170000000000000.0,Block 3003,6813003003
1386,51615-20090716,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.65370799986731 41.92825399979352, -87.65370800045835 41.928282000165666, -87.6537270002183 41.928826000402374, -87.65373400002596 41.92900800009311, -87.65320100018347 41.928631999880736, -87.65315299999592 41.92859900012977, -87.65310800000775 41.92856799976646, -87.65305399986532 41.928531999630515, -87.65302900024415 41.92845099977545, -87.65326400075638 41.928273999854554, -87.6532800004557 41.92826100016979, -87.65370799986731 41.92825399979352)))",17,31,70300,1023,170000000000000.0,Block 1023,703001023
1392,2026836-20161016,CHECKERBOARD PRODUCTIONS INC,700 S WABASH AVE 1 & 2,Tavern,Tavern - Consumption of Liquor on Premise,41.873059616999996,-87.62611158799999,"MULTIPOLYGON (((-87.65956100040795 41.938464000411116, -87.6613069995346 41.938436999957624, -87.66131099999723 41.93847299973782, -87.66128399915873 41.938748000245916, -87.66127899999275 41.93880700034615, -87.6612549999955 41.93889300001893, -87.66079100045026 41.938899999415455, -87.65957600036474 41.93891999940148, -87.65956100040795 41.938464000411116)))",17,31,62800,1003,170000000000000.0,Block 1003,628001003
1442,1848308-20161016,"SAGE RESTAURANT MANAGER, LLC",636-638 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.873659257,-87.62435949799999,"MULTIPOLYGON (((-87.67508799935808 41.8231129999661, -87.67485299944188 41.82311899988983, -87.6748359992091 41.8231199999589, -87.6741509992667 41.823127000295436, -87.67391700016472 41.82313000047923, -87.67391399975104 41.82301500043926, -87.67390499970658 41.82267199998984, -87.67390300015215 41.82255799967302, -87.67438100044592 41.82249000051985, -87.67581799967056 41.82228799984871, -87.67629699922122 41.82222099962196, -87.67630100038141 41.82239499989841, -87.67631300034495 41.822917000675595, -87.67631799942653 41.82309100033627, -87.67617899997802 41.82309200048734, -87.67607100016785 41.82309300048688, -87.67550999980682 41.823101000204005, -87.67533300003959 41.82310599983995, -87.67508799935808 41.8231129999661)))",17,31,610300,1002,170000000000000.0,Block 1002,6103001002
1447,2476206-20160901,HP53 LLC,1460-1466 E 53RD ST,Caterer's Liquor License,Catering of Liquor To Events,41.79965126,-87.589403286,"MULTIPOLYGON (((-87.72410700022192 41.82528599986838, -87.72415999992607 41.82529199998763, -87.7242480004933 41.825045000739145, -87.72428500021826 41.824995999959796, -87.7243869993186 41.82494600045213, -87.72683399977288 41.82411599970193, -87.7282619996345 41.82363299973702, -87.72893700042553 41.823511999751936, -87.73488099982617 41.82157699940017, -87.73562499994313 41.821346999696885, -87.73630299902567 41.82113899975828, -87.73814700028916 41.82057100000973, -87.73857300022213 41.82054299975094, -87.73858199988199 41.8205400004592, -87.73859500023413 41.820686999777635, -87.73859599992673 41.82069200010523, -87.73861099988059 41.82084300013017, -87.7386319996289 41.82105999998177, -87.73863799966776 41.82113000007705, -87.7386529998844 41.82127800011494, -87.73859499996092 41.82129500008364, -87.73659700004566 41.82194400033862, -87.73575100026187 41.822217999890405, -87.72869600027953 41.82451099982595, -87.727039999021 41.8250279992694, -87.72573800010767 41.82543499998073, -87.72564300037945 41.825439999467925, -87.72541500013297 41.825483999619344, -87.72537100026504 41.82553400001246, -87.72486500045936 41.82569799993925, -87.72453500047543 41.82578100047652, -87.72439500017377 41.82578100025757, -87.7241749994021 41.82578699963282, -87.72411800030497 41.82580400027591, -87.72411599979851 41.82570000006005, -87.72411300010613 41.8255389996406, -87.72411100018117 41.8254550007149, -87.72410900056217 41.82538899980122, -87.72410900013048 41.82536999969688, -87.72410700022192 41.82528599986838)))",17,31,830500,1032,170000000000000.0,Block 1032,8305001032
1465,51615-20060816,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.68406199920567 41.88471099959537, -87.68455500013208 41.884692999686834, -87.6854360001053 41.884661000106604, -87.68603399929994 41.88464599999285, -87.68652799969064 41.88463500009627, -87.68652900011588 41.88466100037125, -87.68653300039837 41.88484899965713, -87.68654899982515 41.88549199968507, -87.68655500021313 41.8857069997203, -87.68606400070419 41.885714000213966, -87.68459199993701 41.88573599951352, -87.68410199955699 41.885744000240685, -87.68408799965944 41.88553700030863, -87.68408500023267 41.88549100025351, -87.68406800040388 41.88491699997635, -87.68406299930614 41.88474800025166, -87.68406300010496 41.88472900036509, -87.68406199920567 41.88471099959537)))",17,31,837800,1010,170000000000000.0,Block 1010,8378001010
1497,51615-20050816,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.71233499942676 41.93340500017368, -87.71234000011523 41.93370800031903, -87.712339999642 41.9337389997057, -87.71234600047148 41.93401000018232, -87.71214399923655 41.934203999886044, -87.7119990006842 41.934341999946156, -87.71095899947817 41.935340999924385, -87.71086000010445 41.93543699969935, -87.71060400000513 41.93527999970736, -87.71048900046577 41.93521800020477, -87.71037499994114 41.93522200044696, -87.71073099998823 41.93487099980619, -87.71105199945889 41.934570999511315, -87.71149200084712 41.93414500013709, -87.71213299998662 41.93353799958071, -87.71220799944192 41.93347200031083, -87.71229300059814 41.9334260001828, -87.71233499942676 41.93340500017368)))",17,31,210602,2006,170000000000000.0,Block 2006,2106022006
1546,12503-20160916,"DAMENZO'S, INC.",2322-2324 W TAYLOR ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.869107738000004,-87.68458375799999,"MULTIPOLYGON (((-87.77886499983937 41.96077799975682, -87.77947800061375 41.96076999979953, -87.77949899944305 41.96144099955111, -87.7795079998166 41.96175299939137, -87.77951999983581 41.96211200012927, -87.77927500021846 41.962113999795434, -87.77921599994723 41.96211499981774, -87.77891300102839 41.96211900020076, -87.77889799995276 41.96180100036644, -87.77886499983937 41.96077799975682)))",17,31,150501,3008,170000000000000.0,Block 3008,1505013008
1603,51615-20130716,"MADELINE KHAN, LTD.",1475 W BALMORAL AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,41.979744137,-87.66773759200001,"MULTIPOLYGON (((-87.61768299983098 41.718189000043246, -87.61743999896521 41.71819199992795, -87.61707599980646 41.71819699937298, -87.61703199995378 41.71637600009076, -87.61739500041921 41.716369000235034, -87.6176379992334 41.7163659995202, -87.6176470003281 41.71673000039444, -87.61767399990906 41.717824000764715, -87.61768299983098 41.718189000043246)))",17,31,490500,2021,170000000000000.0,Block 2021,4905002021
2215,22921-20161016,NIGHT BEFORE INC.,6412 N CLARK ST,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",41.998426386,-87.67087163,"MULTIPOLYGON (((-87.60025500072132 41.65187699970852, -87.60019800089759 41.65296899984522, -87.60020099957029 41.65327900001988, -87.60018499978143 41.65336300017472, -87.60017300043438 41.65347099922258, -87.60018600037611 41.65356600055327, -87.6002530000277 41.65367400017031, -87.60019399975513 41.65369100018397, -87.60005200043918 41.65372100061574, -87.59986899951468 41.653760000488305, -87.5997610004822 41.6537690001916, -87.59968999976938 41.653779000373895, -87.5994700002263 41.653786000026656, -87.5994170007588 41.65378600016377, -87.59811200062771 41.65379200024167, -87.59749699997279 41.65379299961986, -87.59740699981671 41.65379399996161, -87.59685800020745 41.65379100035182, -87.59684500052938 41.65366699939105, -87.59684400003889 41.65363300023487, -87.59684399996084 41.65344500019849, -87.59682600095572 41.65328499992516, -87.59678600028492 41.65317400021036, -87.59678300013861 41.653167999795514, -87.59670900088493 41.65302900021443, -87.59702699998832 41.6527719999443, -87.5979809995439 41.65200400012666, -87.59829999993926 41.651748000293, -87.59829999976172 41.6517759992532, -87.59830700017103 41.65182000032736, -87.59832400071024 41.65184900027515, -87.59836600074662 41.65185999951557, -87.59854600026416 41.65186900072728, -87.59877000039468 41.651871000634046, -87.59956799996566 41.651879999986754, -87.60025500072132 41.65187699970852)))",17,31,540101,3008,170000000000000.0,Block 3008,5401013008
