census_block,max_age,Primary_Type,year,crimes_no
201001,25-44,DECEPTIVE PRACTICE,2015,2
201001,25-44,MOTOR VEHICLE THEFT,2015,1
201001,25-44,NARCOTICS,2015,1
201001,25-44,THEFT,2015,3
201002,45-64,BATTERY,2015,2
201002,45-64,BURGLARY,2015,1
201002,45-64,CRIMINAL DAMAGE,2015,1
202001,45-64,BATTERY,2015,5
202001,45-64,BURGLARY,2015,2
202001,45-64,DECEPTIVE PRACTICE,2015,1
202001,45-64,HOMICIDE,2008,1
202001,45-64,MOTOR VEHICLE THEFT,2015,1
202001,45-64,THEFT,2015,2
202001,45-64,WEAPONS VIOLATION,2015,1
202002,25-44,ASSAULT,2015,1
202002,25-44,BATTERY,2015,1
202002,25-44,CRIMINAL DAMAGE,2015,1
202002,25-44,CRIMINAL TRESPASS,2015,1
202002,25-44,ROBBERY,2015,1
202002,25-44,THEFT,2015,3
202003,45-64,BATTERY,2015,5
202003,45-64,BURGLARY,2015,1
202003,45-64,CRIM SEXUAL ASSAULT,2015,1
202003,45-64,CRIMINAL DAMAGE,2015,3
202003,45-64,CRIMINAL TRESPASS,2015,1
202003,45-64,DECEPTIVE PRACTICE,2015,2
202003,45-64,NARCOTICS,2015,1
202003,45-64,OTHER OFFENSE,2015,3
202003,45-64,THEFT,2015,2
202003,45-64,WEAPONS VIOLATION,2015,1
202004,45-64,ASSAULT,2015,1
202004,45-64,BATTERY,2015,5
202004,45-64,BURGLARY,2015,1
202004,45-64,CRIMINAL DAMAGE,2015,2
202004,45-64,CRIMINAL TRESPASS,2015,1
202004,45-64,LIQUOR LAW VIOLATION,2015,1
202004,45-64,MOTOR VEHICLE THEFT,2015,1
202004,45-64,NARCOTICS,2015,3
202004,45-64,OTHER OFFENSE,2015,1
202004,45-64,ROBBERY,2015,1
202004,45-64,THEFT,2015,5
203011,65+,BATTERY,2015,1
203011,65+,CRIMINAL DAMAGE,2015,1
203011,65+,NARCOTICS,2015,1
203011,65+,THEFT,2015,2
203012,65+,CRIMINAL DAMAGE,2015,1
203012,65+,THEFT,2015,1
203012,65+,WEAPONS VIOLATION,2015,2
203013,5-17,BATTERY,2015,7
203013,5-17,BURGLARY,2015,1
203013,5-17,CRIMINAL DAMAGE,2015,2
203013,5-17,DECEPTIVE PRACTICE,2014,1
203013,5-17,MOTOR VEHICLE THEFT,2015,1
203013,5-17,NARCOTICS,2015,1
203013,5-17,OTHER OFFENSE,2015,1
203013,5-17,THEFT,2015,2
203013,5-17,WEAPONS VIOLATION,2015,1
203021,45-64,ASSAULT,2015,1
203021,45-64,BATTERY,2015,1
203021,45-64,MOTOR VEHICLE THEFT,2015,1
203021,45-64,OTHER OFFENSE,2015,1
203021,45-64,ROBBERY,2015,1
203022,5-17,ASSAULT,2015,1
203022,5-17,BATTERY,2015,1
203022,5-17,DECEPTIVE PRACTICE,2015,1
203022,5-17,OTHER OFFENSE,2015,1
203022,5-17,ROBBERY,2015,1
203022,5-17,THEFT,2015,1
203023,25-44,ARSON,2015,1
203023,25-44,BATTERY,2015,2
203023,25-44,CRIMINAL DAMAGE,2015,4
203023,25-44,CRIMINAL TRESPASS,2015,1
203023,25-44,DECEPTIVE PRACTICE,2015,1
203023,25-44,MOTOR VEHICLE THEFT,2015,2
203023,25-44,NARCOTICS,2015,2
203023,25-44,OFFENSE INVOLVING CHILDREN,2015,1
203023,25-44,THEFT,2015,5
203023,25-44,WEAPONS VIOLATION,2015,1
204001,45-64,CRIMINAL DAMAGE,2015,2
204001,45-64,DECEPTIVE PRACTICE,2015,1
204001,45-64,MOTOR VEHICLE THEFT,2015,1
204001,45-64,NARCOTICS,2015,2
204001,45-64,THEFT,2015,1
204002,45-64,BATTERY,2015,4
204002,45-64,BURGLARY,2015,1
204002,45-64,CRIMINAL DAMAGE,2015,3
204002,45-64,NARCOTICS,2015,1
204002,45-64,OTHER OFFENSE,2015,1
204002,45-64,PUBLIC PEACE VIOLATION,2015,1
204002,45-64,ROBBERY,2015,1
204002,45-64,THEFT,2015,1
204002,45-64,WEAPONS VIOLATION,2015,1
204003,25-44,ASSAULT,2015,1
204003,25-44,DECEPTIVE PRACTICE,2015,1
204003,25-44,OTHER OFFENSE,2015,1
204003,25-44,THEFT,2015,1
205001,25-44,ASSAULT,2015,1
205001,25-44,BATTERY,2015,2
205001,25-44,CRIMINAL DAMAGE,2015,3
205001,25-44,DECEPTIVE PRACTICE,2015,1
205002,25-44,CRIMINAL DAMAGE,2015,2
205002,25-44,CRIMINAL TRESPASS,2015,1
205002,25-44,DECEPTIVE PRACTICE,2014,1
205002,25-44,OTHER OFFENSE,2015,3
205002,25-44,THEFT,2015,1
205003,45-64,CRIMINAL DAMAGE,2015,1
205003,45-64,DECEPTIVE PRACTICE,2015,1
205003,45-64,ROBBERY,2015,1
205003,45-64,THEFT,2015,1
205004,25-44,CRIMINAL TRESPASS,2015,1
205004,25-44,MOTOR VEHICLE THEFT,2015,1
205004,25-44,NARCOTICS,2015,1
205004,25-44,PUBLIC PEACE VIOLATION,2015,1
205004,25-44,THEFT,2015,1
206011,45-64,ASSAULT,2015,3
206011,45-64,BATTERY,2015,1
206011,45-64,CRIMINAL DAMAGE,2015,2
206011,45-64,CRIMINAL DAMAGE,2018,1
206011,45-64,MOTOR VEHICLE THEFT,2015,1
206011,45-64,NARCOTICS,2015,2
206011,45-64,THEFT,2015,6
206012,25-44,CRIMINAL DAMAGE,2015,2
206012,25-44,NARCOTICS,2015,2
206012,25-44,OFFENSE INVOLVING CHILDREN,2015,2
206012,25-44,ROBBERY,2015,1
206012,25-44,THEFT,2015,5
206013,25-44,BATTERY,2015,1
206013,25-44,BURGLARY,2015,1
206013,25-44,CRIMINAL TRESPASS,2015,1
206013,25-44,DECEPTIVE PRACTICE,2015,1
206013,25-44,NARCOTICS,2015,2
206013,25-44,PROSTITUTION,2015,1
206013,25-44,THEFT,2015,1
206021,45-64,ASSAULT,2015,1
206021,45-64,BATTERY,2015,1
206021,45-64,BURGLARY,2015,1
206021,45-64,CRIMINAL DAMAGE,2015,1
206021,45-64,DECEPTIVE PRACTICE,2015,1
206021,45-64,NARCOTICS,2015,1
206021,45-64,OTHER OFFENSE,2015,1
206021,45-64,THEFT,2015,1
206022,25-44,ASSAULT,2015,2
206022,25-44,BURGLARY,2015,1
206022,25-44,CRIMINAL DAMAGE,2015,3
206022,25-44,MOTOR VEHICLE THEFT,2015,1
206022,25-44,NARCOTICS,2015,1
206022,25-44,OTHER OFFENSE,2015,1
206023,45-64,BATTERY,2015,2
206023,45-64,BURGLARY,2015,1
206023,45-64,CRIMINAL DAMAGE,2015,1
206023,45-64,OTHER OFFENSE,2015,1
206023,45-64,PROSTITUTION,2015,2
206023,45-64,THEFT,2015,1
206024,45-64,ASSAULT,2015,1
206024,45-64,BATTERY,2015,1
206024,45-64,BURGLARY,2015,1
206024,45-64,CRIMINAL DAMAGE,2015,2
206024,45-64,CRIMINAL TRESPASS,2015,1
206024,45-64,MOTOR VEHICLE THEFT,2015,1
206024,45-64,OTHER OFFENSE,2015,1
206024,45-64,THEFT,2015,2
207011,45-64,BATTERY,2015,4
207011,45-64,CRIMINAL DAMAGE,2015,2
207011,45-64,CRIMINAL TRESPASS,2015,1
207011,45-64,DECEPTIVE PRACTICE,2015,2
207011,45-64,MOTOR VEHICLE THEFT,2015,1
207011,45-64,NARCOTICS,2015,3
207011,45-64,OTHER OFFENSE,2015,1
207011,45-64,THEFT,2015,4
207012,25-44,BATTERY,2015,1
207012,25-44,BURGLARY,2015,1
207012,25-44,CRIMINAL DAMAGE,2015,1
207012,25-44,DECEPTIVE PRACTICE,2015,2
207012,25-44,NARCOTICS,2015,1
207012,25-44,THEFT,2015,3
207021,45-64,ASSAULT,2015,1
207021,45-64,BATTERY,2015,3
207021,45-64,CRIM SEXUAL ASSAULT,2015,1
207021,45-64,CRIMINAL DAMAGE,2015,1
207021,45-64,MOTOR VEHICLE THEFT,2015,1
207021,45-64,NARCOTICS,2015,2
207021,45-64,OFFENSE INVOLVING CHILDREN,2015,1
207021,45-64,OTHER OFFENSE,2015,1
207021,45-64,ROBBERY,2015,1
207022,25-44,BATTERY,2015,1
207022,25-44,BURGLARY,2015,1
207022,25-44,CRIMINAL DAMAGE,2015,2
207022,25-44,MOTOR VEHICLE THEFT,2015,1
207022,25-44,PUBLIC PEACE VIOLATION,2015,1
207022,25-44,THEFT,2015,3
207023,25-44,BATTERY,2015,2
207023,25-44,CRIM SEXUAL ASSAULT,2015,1
207023,25-44,CRIMINAL DAMAGE,2015,1
207023,25-44,CRIMINAL TRESPASS,2015,1
207023,25-44,NARCOTICS,2015,1
207023,25-44,OTHER OFFENSE,2015,3
207024,5-17,ASSAULT,2015,2
207024,5-17,MOTOR VEHICLE THEFT,2015,1
207024,5-17,NARCOTICS,2015,2
207024,5-17,ROBBERY,2015,1
207024,5-17,THEFT,2015,2
208011,25-44,ASSAULT,2015,1
208011,25-44,BATTERY,2015,2
208011,25-44,CRIMINAL DAMAGE,2015,1
208011,25-44,CRIMINAL TRESPASS,2015,2
208011,25-44,DECEPTIVE PRACTICE,2015,2
208011,25-44,NARCOTICS,2015,2
208011,25-44,THEFT,2015,2
208012,45-64,BATTERY,2015,3
208012,45-64,CRIMINAL DAMAGE,2015,2
208012,45-64,CRIMINAL TRESPASS,2015,1
208012,45-64,DECEPTIVE PRACTICE,2015,1
208012,45-64,OTHER OFFENSE,2015,1
208012,45-64,THEFT,2015,2
208013,45-64,BATTERY,2015,1
208013,45-64,BURGLARY,2015,1
208013,45-64,CRIMINAL DAMAGE,2015,2
208013,45-64,DECEPTIVE PRACTICE,2015,1
208013,45-64,INTERFERENCE WITH PUBLIC OFFICER,2015,1
208013,45-64,MOTOR VEHICLE THEFT,2015,2
208013,45-64,NARCOTICS,2015,1
208013,45-64,OTHER OFFENSE,2015,1
208013,45-64,THEFT,2015,4
208014,45-64,BURGLARY,2015,1
208014,45-64,CRIMINAL DAMAGE,2015,2
208014,45-64,DECEPTIVE PRACTICE,2015,3
208014,45-64,OTHER OFFENSE,2015,1
208014,45-64,PROSTITUTION,2015,1
208014,45-64,THEFT,2015,3
208021,45-64,ASSAULT,2015,1
208021,45-64,BURGLARY,2015,1
208021,45-64,DECEPTIVE PRACTICE,2015,1
208021,45-64,NARCOTICS,2015,1
208021,45-64,ROBBERY,2015,1
208022,25-44,ASSAULT,2015,1
208022,25-44,BATTERY,2015,2
208022,25-44,CRIMINAL DAMAGE,2015,1
208022,25-44,DECEPTIVE PRACTICE,2015,1
208022,25-44,NARCOTICS,2015,1
208022,25-44,THEFT,2015,1
208023,25-44,BATTERY,2015,1
208023,25-44,BURGLARY,2015,1
208023,25-44,CRIMINAL DAMAGE,2015,1
208023,25-44,DECEPTIVE PRACTICE,2015,2
208023,25-44,NARCOTICS,2015,1
208023,25-44,OTHER OFFENSE,2015,1
208023,25-44,THEFT,2015,2
208023,25-44,WEAPONS VIOLATION,2015,1
208024,25-44,BATTERY,2015,3
208024,25-44,CRIMINAL DAMAGE,2015,3
208024,25-44,DECEPTIVE PRACTICE,2015,1
208024,25-44,OTHER OFFENSE,2015,1
208024,25-44,THEFT,2015,1
209011,25-44,BATTERY,2015,1
209011,25-44,DECEPTIVE PRACTICE,2015,1
209011,25-44,OTHER OFFENSE,2015,1
209011,25-44,PROSTITUTION,2015,1
209011,25-44,THEFT,2015,3
209012,25-44,ASSAULT,2015,1
209012,25-44,BATTERY,2015,1
209012,25-44,NARCOTICS,2015,2
209012,25-44,THEFT,2015,1
209013,25-44,BATTERY,2015,2
209013,25-44,BURGLARY,2015,1
209013,25-44,CRIMINAL DAMAGE,2015,3
209013,25-44,NARCOTICS,2015,1
209013,25-44,OTHER OFFENSE,2015,1
209013,25-44,PUBLIC PEACE VIOLATION,2015,1
209013,25-44,THEFT,2015,4
209021,45-64,ASSAULT,2015,2
209021,45-64,BATTERY,2015,2
209021,45-64,CRIMINAL DAMAGE,2015,2
209021,45-64,DECEPTIVE PRACTICE,2015,1
209021,45-64,INTERFERENCE WITH PUBLIC OFFICER,2015,1
209021,45-64,MOTOR VEHICLE THEFT,2015,1
209021,45-64,NARCOTICS,2015,2
209021,45-64,THEFT,2015,2
209022,25-44,BURGLARY,2015,1
209022,25-44,CRIMINAL DAMAGE,2015,3
209022,25-44,DECEPTIVE PRACTICE,2015,1
209022,25-44,NARCOTICS,2015,1
209022,25-44,THEFT,2015,3
301011,25-44,ASSAULT,2015,1
301011,25-44,NARCOTICS,2015,1
301011,25-44,THEFT,2015,1
301013,45-64,OTHER OFFENSE,2015,1
301014,45-64,DECEPTIVE PRACTICE,2015,1
301021,45-64,ASSAULT,2015,1
301021,45-64,BATTERY,2015,1
301022,25-44,KIDNAPPING,2015,1
301022,25-44,MOTOR VEHICLE THEFT,2015,1
301022,25-44,OTHER OFFENSE,2015,1
301023,25-44,CRIMINAL DAMAGE,2015,1
301031,25-44,BATTERY,2015,2
301031,25-44,NARCOTICS,2015,1
301032,45-64,DECEPTIVE PRACTICE,2015,2
301032,45-64,THEFT,2015,1
301041,18-24,OTHER OFFENSE,2015,1
301041,18-24,THEFT,2015,2
301042,25-44,THEFT,2015,1
302001,25-44,ASSAULT,2015,2
302001,25-44,BATTERY,2015,2
302001,25-44,BURGLARY,2015,1
302001,25-44,NARCOTICS,2015,2
302001,25-44,THEFT,2015,1
302002,25-44,DECEPTIVE PRACTICE,2015,2
302002,25-44,NARCOTICS,2015,1
302002,25-44,OTHER OFFENSE,2015,2
302002,25-44,THEFT,2015,2
302003,25-44,ASSAULT,2015,2
302003,25-44,CRIMINAL TRESPASS,2015,1
302003,25-44,NARCOTICS,2015,1
302003,25-44,OTHER OFFENSE,2015,1
302003,25-44,THEFT,2015,2
302004,25-44,ASSAULT,2015,3
302004,25-44,BATTERY,2015,1
302004,25-44,BURGLARY,2014,1
302004,25-44,CRIMINAL DAMAGE,2015,1
302004,25-44,MOTOR VEHICLE THEFT,2015,1
302004,25-44,NARCOTICS,2015,1
302004,25-44,THEFT,2015,2
303001,25-44,ASSAULT,2015,1
303001,25-44,BATTERY,2015,2
303001,25-44,NARCOTICS,2015,2
303001,25-44,ROBBERY,2015,1
303001,25-44,THEFT,2015,5
303002,25-44,BURGLARY,2015,1
303002,25-44,CRIMINAL DAMAGE,2015,1
303002,25-44,MOTOR VEHICLE THEFT,2015,1
303002,25-44,NARCOTICS,2015,2
304001,25-44,BATTERY,2015,4
304001,25-44,CRIMINAL DAMAGE,2015,4
304001,25-44,INTERFERENCE WITH PUBLIC OFFICER,2015,1
304001,25-44,NARCOTICS,2015,1
304001,25-44,OFFENSE INVOLVING CHILDREN,2015,1
304001,25-44,ROBBERY,2015,1
304001,25-44,THEFT,2015,2
304002,25-44,BATTERY,2015,4
304002,25-44,CRIMINAL DAMAGE,2015,1
304002,25-44,NARCOTICS,2015,2
304002,25-44,OTHER OFFENSE,2015,1
304002,25-44,THEFT,2015,3
305001,25-44,ASSAULT,2015,2
305001,25-44,BATTERY,2015,1
305001,25-44,BURGLARY,2015,1
305001,25-44,CRIMINAL DAMAGE,2015,1
305001,25-44,SEX OFFENSE,2014,1
305001,25-44,WEAPONS VIOLATION,2015,1
305002,45-64,ARSON,2015,1
305002,45-64,BATTERY,2015,3
305002,45-64,BURGLARY,2015,1
305002,45-64,CRIMINAL DAMAGE,2015,1
305002,45-64,CRIMINAL TRESPASS,2015,1
305002,45-64,NARCOTICS,2015,3
305002,45-64,OTHER OFFENSE,2015,1
305002,45-64,THEFT,2015,2
305003,25-44,ASSAULT,2015,1
305003,25-44,BATTERY,2015,1
305003,25-44,CRIMINAL DAMAGE,2015,1
305003,25-44,DECEPTIVE PRACTICE,2015,1
305003,25-44,NARCOTICS,2015,2
305003,25-44,OTHER OFFENSE,2015,2
305003,25-44,ROBBERY,2015,1
305004,25-44,ASSAULT,2015,1
305004,25-44,BATTERY,2015,3
305004,25-44,CRIMINAL DAMAGE,2015,1
305004,25-44,CRIMINAL TRESPASS,2015,1
305004,25-44,NARCOTICS,2015,1
305004,25-44,OTHER OFFENSE,2015,1
305004,25-44,THEFT,2015,1
306012,25-44,ASSAULT,2015,1
306012,25-44,BATTERY,2015,1
306012,25-44,NARCOTICS,2015,1
306013,45-64,BURGLARY,2015,1
306031,25-44,CRIMINAL TRESPASS,2015,1
306031,25-44,WEAPONS VIOLATION,2015,1
306032,25-44,NARCOTICS,2015,1
306041,25-44,BATTERY,2015,1
306041,25-44,OFFENSE INVOLVING CHILDREN,2015,1
306042,25-44,MOTOR VEHICLE THEFT,2015,1
306043,45-64,ASSAULT,2015,1
306043,45-64,NARCOTICS,2015,1
307011,25-44,BATTERY,2015,1
307011,25-44,CRIMINAL DAMAGE,2015,1
307011,25-44,THEFT,2015,1
307022,45-64,CRIMINAL DAMAGE,2015,1
307031,25-44,BATTERY,2015,1
307031,25-44,OTHER OFFENSE,2015,1
307031,25-44,THEFT,2015,1
307032,65+,BATTERY,2015,1
307033,25-44,CRIMINAL DAMAGE,2015,1
307033,25-44,INTERFERENCE WITH PUBLIC OFFICER,2015,1
307033,25-44,OTHER OFFENSE,2015,1
307033,25-44,THEFT,2015,1
307061,25-44,ASSAULT,2015,1
307061,25-44,BATTERY,2015,1
307061,25-44,CRIMINAL TRESPASS,2015,1
307061,25-44,DECEPTIVE PRACTICE,2015,1
307061,25-44,NARCOTICS,2015,1
307061,25-44,ROBBERY,2015,1
307062,25-44,BATTERY,2015,1
307062,25-44,DECEPTIVE PRACTICE,2015,1
307062,25-44,THEFT,2015,1
308001,25-44,ASSAULT,2015,1
308001,25-44,BATTERY,2015,2
308001,25-44,CRIMINAL DAMAGE,2015,2
308001,25-44,DECEPTIVE PRACTICE,2015,1
308001,25-44,NARCOTICS,2015,2
308002,25-44,BATTERY,2015,2
308002,25-44,DECEPTIVE PRACTICE,2015,1
308002,25-44,NARCOTICS,2015,1
308002,25-44,THEFT,2015,2
308002,25-44,WEAPONS VIOLATION,2015,1
308003,25-44,BATTERY,2015,2
308003,25-44,BURGLARY,2015,1
308003,25-44,DECEPTIVE PRACTICE,2015,1
308003,25-44,NARCOTICS,2015,1
308003,25-44,WEAPONS VIOLATION,2015,1
308004,25-44,BATTERY,2015,1
308004,25-44,BURGLARY,2015,1
308004,25-44,CRIMINAL DAMAGE,2015,3
308004,25-44,NARCOTICS,2015,1
308004,25-44,OTHER OFFENSE,2015,1
309001,25-44,ASSAULT,2015,1
309001,25-44,BURGLARY,2015,1
309001,25-44,CRIMINAL DAMAGE,2015,1
309001,25-44,PUBLIC PEACE VIOLATION,2015,1
309001,25-44,SEX OFFENSE,2015,1
309001,25-44,THEFT,2015,1
309001,25-44,WEAPONS VIOLATION,2015,1
309002,25-44,ASSAULT,2015,1
309002,25-44,BATTERY,2015,1
309002,25-44,DECEPTIVE PRACTICE,2015,2
309002,25-44,NARCOTICS,2015,1
309002,25-44,OTHER OFFENSE,2015,2
309002,25-44,STALKING,2015,1
309002,25-44,THEFT,2015,1
309002,25-44,WEAPONS VIOLATION,2015,2
309003,25-44,ASSAULT,2015,1
309003,25-44,BATTERY,2015,1
309003,25-44,CRIMINAL DAMAGE,2015,2
309003,25-44,CRIMINAL TRESPASS,2015,1
309003,25-44,DECEPTIVE PRACTICE,2015,1
309003,25-44,MOTOR VEHICLE THEFT,2015,1
309003,25-44,OTHER OFFENSE,2015,1
309003,25-44,THEFT,2015,2
309004,25-44,ASSAULT,2015,1
309004,25-44,BATTERY,2015,2
309004,25-44,CRIMINAL DAMAGE,2015,1
309004,25-44,ROBBERY,2015,1
309004,25-44,THEFT,2015,1
310001,25-44,BATTERY,2015,1
310001,25-44,BURGLARY,2015,1
310001,25-44,NARCOTICS,2015,2
310001,25-44,OFFENSE INVOLVING CHILDREN,2015,1
310001,25-44,THEFT,2015,1
310002,25-44,BATTERY,2015,1
310002,25-44,BURGLARY,2015,1
310002,25-44,CRIMINAL DAMAGE,2015,1
310002,25-44,CRIMINAL TRESPASS,2015,1
310002,25-44,DECEPTIVE PRACTICE,2015,2
310002,25-44,MOTOR VEHICLE THEFT,2018,1
310002,25-44,NARCOTICS,2015,1
310003,25-44,BATTERY,2015,1
310003,25-44,CRIMINAL DAMAGE,2015,1
310003,25-44,CRIMINAL TRESPASS,2015,1
310003,25-44,OTHER OFFENSE,2015,1
310003,25-44,THEFT,2015,1
311001,25-44,BATTERY,2015,1
311001,25-44,CRIMINAL DAMAGE,2015,1
311001,25-44,THEFT,2015,1
311001,25-44,WEAPONS VIOLATION,2015,2
311002,45-64,BATTERY,2015,1
311002,45-64,CRIMINAL DAMAGE,2015,1
311003,25-44,BATTERY,2015,1
311003,25-44,CRIMINAL DAMAGE,2015,1
311003,25-44,DECEPTIVE PRACTICE,2015,1
311003,25-44,LIQUOR LAW VIOLATION,2015,1
311003,25-44,NARCOTICS,2015,1
311003,25-44,OTHER OFFENSE,2015,1
312001,25-44,MOTOR VEHICLE THEFT,2015,1
312001,25-44,THEFT,2014,1
312001,25-44,THEFT,2015,1
312002,45-64,BATTERY,2015,1
312002,45-64,CRIMINAL DAMAGE,2015,4
312002,45-64,THEFT,2015,1
312003,45-64,ASSAULT,2015,1
312003,45-64,CRIMINAL TRESPASS,2015,1
312003,45-64,THEFT,2015,1
312003,45-64,WEAPONS VIOLATION,2015,1
312004,25-44,MOTOR VEHICLE THEFT,2015,1
