rownumber,name,address,license desc,business desc,tract_block
16527,"THE JAZZ SHOWCASE, INC.",806 S PLYMOUTH CT 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8314002059
16559,"JERRY'S SANDWICHES AV, LLC",5419 N CLARK ST 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1006004026
16585,"DINOSAUR RESTAURANTS, LLC",923 W WEED ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2504004013
16608,"BLM-CHICAGO, LLC",224-230 N MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
16610,HR SUPERIOR CORPORATION,3028 N CENTRAL AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,1904021029
16704,FLORES INC,4957 S ASHLAND AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,6302001001
16827,"7-ELEVEN, INC.",6057 S KEDZIE AVE,Package Goods,Retail Sales of Packaged Liquor,6404002031
16845,"SUPERMERCADO LA GLORIA, INC.",4117-4125 S KEDZIE AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,5601001013
16869,"7-ELEVEN, INC.",2401 N MILWAUKEE AVE,Package Goods,Retail Sales of Packaged Liquor,2207022020
16894,"USMAN ALI ENTERPRISES,  INC.",174 N MICHIGAN AVE  B,Package Goods,Retail Sales of Packaged Liquor,2801001033
17105,"7-ELEVEN, INC.",1658 N MILWAUKEE AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,2503001022
17142,"ILLIANA POST#220 AMERICAN LEGION OF ILLINOIS, INC.",10506 S EWING AVE 1ST,Not-For-Profit Club,"Consumption of Liquor on Premises, Not for Profit",7402004007
17144,"CHICAGO CUT STEAKHOUSE, LLC",300 N LA SALLE ST 1ST 150,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8330002012
17298,"Weather Mark Group, LLC",1503 S MICHIGAN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429001007
17303,LITH CAFE CORP.,186 N WELLS ST 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
17340,35 WEST LP,35 W WACKER DR 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
17347,"ONE SOUTH WACKER RESTAURANT GROUP, LLC",1 S WACKER DR,Caterer's Liquor License,Catering of Liquor To Events,2819003001
17358,"AUDITORIUM THEATRE OF ROOSEVELT UNIVERSITY, INC.",50 E CONGRESS PKWY,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2606002008
17371,ROOM FIVE HUNDRED,1725 W HARRISON ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2827002007
17391,"NICK'S FISHMARKET CHICAGO MART, LLC",222 W MERCHANDISE MART PLZ 1ST 135,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8330002012
17419,"NICK'S FISHMARKET CHICAGO MART, LLC",222 W MERCHANDISE MART PLZ 1ST 135,Caterer's Liquor License,Catering of Liquor To Events,8330002012
17453,"CHICAGO CUT STEAKHOUSE, LLC",300 N LA SALLE ST 1ST 150,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8330002012
17460,"ONE SOUTH WACKER RESTAURANT GROUP, LLC",1 S WACKER DR,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2819003001
17503,"TREVINO'S LIQUORS, INC.",4125 W 31ST ST  1ST F,Tavern,Tavern - Consumption of Liquor on Premise,3018012036
17581,"ONE SOUTH WACKER RESTAURANT GROUP, LLC",1 S WACKER DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2819003001
17598,KANELA IV LLC,1408 N MILWAUKEE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2507001012
17652,"1543 N. DAMEN, LLC",1543-1545 N DAMEN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2504004013
17654,BOCKWINKEL'S FRESH EXPRESS,155 N HARBOR DR 1ST,Package Goods,Retail Sales of Packaged Liquor,2801001033
17667,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17714,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17721,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17801,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17804,"CHAZ FOOD & LIQUOR, INC.",6647 S HALSTED ST 1,Package Goods,Retail Sales of Packaged Liquor,6608001007
17839,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17876,"BOCKWINKEL'S AT PARK MILLENNIUM, INC.",222 N COLUMBUS DR 1ST,Package Goods,Retail Sales of Packaged Liquor,8378001002
17888,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17911,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17941,RALPH COLLINS & JOHNNY WHITE,612 E 79TH ST 1ST,Tavern,Tavern - Consumption of Liquor on Premise,7101001023
17954,"INGRACE'S COMPANY III, INC.",200 E RANDOLPH ST LOWERLEVEL LL15,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801001033
17962,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
17979,KHRG ALLEGRO LLC,171 W RANDOLPH ST 1-19,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801001033
17999,KHRG ALLEGRO LLC,153 W RANDOLPH ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801001033
18026,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
18061,"HAROLD'S RESTAURANT, LLC",3056 N LINCOLN AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1801001012
18153,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
18169,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
18180,"K & G GOURMET, L.L.C.",53 E LAKE ST 1,Package Goods,Retail Sales of Packaged Liquor,8378001002
18203,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
18221,BERTOS INC,1011 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
18286,"FLACO'S TACOS IV, LLC",1116-1120 W GRANVILLE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,208024008
18364,"BEHIND THE SCENES CHICAGO, LLC",1746-1758 W LAKE ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
18365,"TLBC FOOD, INC.",300 S RIVERSIDE PLZ 1 110,Package Goods,Retail Sales of Packaged Liquor,8370001000
18366,"INTERCONTINENTAL HOTELS GROUP RESOURCES, INC.",1244 N DEARBORN ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2306002002
18397,VICE DISTRICT TAPROOM LLC,1454 S MICHIGAN AVE 1,Tavern,Tavern - Consumption of Liquor on Premise,3302002010
18416,SEVENTH INC.,400 E RANDOLPH ST 7,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801001033
18434,"NOODLE STATION, INC.",2022 S WENTWORTH AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8414001009
18475,STANISLAW JARMAKOWICZ,5044 W ARMITAGE AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,1913022033
18477,"ONE NORTH, INC.",1 N WACKER DR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2819003001
18539,VICE DISTRICT TAPROOM LLC,1454 S MICHIGAN AVE 1,Package Goods,Retail Sales of Packaged Liquor,3302002010
18545,M. V. ONE INCORPORATED,1543 W 87TH ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,7003021018
18619,"TLBC FOOD, INC.",300 S RIVERSIDE PLZ 1 110,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8370001000
18655,"ONE NORTH, INC.",1 N WACKER DR,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2819003001
18669,Levy (Events) Limited Partnership,315 N LA SALLE DR 1,Caterer's Liquor License,Catering of Liquor To Events,8330002012
18703,THE WIP THEATER,6670 N NORTHWEST HWY 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,902004035
18706,"FLACO'S TACOS IV, LLC",1116-1120 W GRANVILLE AVE 1ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,208024008
18758,"REGAL CINEMAS, INC.",1471 W WEBSTER AVE 1ST AND 2ND,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1911005014
18760,"ELWOOD ENTERPRISES, INC.",6666 N NORTHWEST HWY 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,902004035
18776,ROSEBUD ARTIST'S CAFE INC.,1150 S WABASH AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8430002001
18818,"TUTTO MONDO, INC.",225 W WACKER DR 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
18822,"GO! GROCER PINE GROVE, INC.",3930 N PINE GROVE AVE 1 C-2,Package Goods,Retail Sales of Packaged Liquor,604001006
18826,"LBT CHICAGO, LLC",845-847 N STATE ST 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2513005008
18848,HANDCUT FOODS LLC,1455 W WILLOW ST 1ST,Caterer's Liquor License,Catering of Liquor To Events,2502001012
18882,"SUN SHINE FOOD & LIQUOR, INC.",3900 W ROOSEVELT RD,Package Goods,Retail Sales of Packaged Liquor,8314002049
18889,"BILLY GOAT TAVERN III, INC",330 S WELLS ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8380001025
18913,LYRIC OPERA OF CHICAGO,20 N WACKER DR  ENTIR,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801002015
18954,LYRIC OPERA OF CHICAGO,20 N WACKER DR 2ND,Not-For-Profit Club,"Consumption of Liquor on Premises, Not for Profit",2801002015
18978,"TUTTO MONDO, INC.",225 W WACKER DR 1ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8378001002
19004,"SHIV SHAKTI INVESTMENT, INC.",5530 N MILWAUKEE AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,1006001017
19033,MIDCITY FOOD & LIQUOR INC.,500 S KOSTNER AVE,Package Goods,Retail Sales of Packaged Liquor,2521023002
19070,"SHIV SHAKTI INVESTMENT, INC.",5530 N MILWAUKEE AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,1006001017
19097,AR DEE INC,7301 N SHERIDAN RD 1ST,Tavern,Tavern - Consumption of Liquor on Premise,102012040
19186,PRIME BAR CHICAGO LLC,155 N WACKER DR 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2801001033
19224,LADYBUG BOOKSTORE CAFE INC.,4305 N KEDZIE AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1602003001
19232,PRIME BAR CHICAGO LLC,155 N WACKER DR 1ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2801001033
19250,THE UNIVERSITY OF CHICAGO,5535 S ELLIS AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,6201003009
19418,"S & L ENTERTAINMENT, LLC",52 W ELM ST 1 & 2,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8383002001
19426,"S & L ENTERTAINMENT, LLC",52 W ELM ST 1 & 2,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8383002001
19446,SANUK LLC,2845 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
19464,"S & L ENTERTAINMENT, LLC",52 W ELM ST 1 & 2,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8383002001
19473,"S & L ENTERTAINMENT, LLC",52 W ELM ST 1 & 2,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8383002001
19501,"S & L ENTERTAINMENT, LLC",52 W ELM ST 1 & 2,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8383002001
19524,"S & L ENTERTAINMENT, LLC",52 W ELM ST 1 & 2,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8383002001
19612,KINOS FINER FOODS LIMITED,2458 S SACRAMENTO AVE 1,Package Goods,Retail Sales of Packaged Liquor,3007003002
19631,"NEW KENWOOD FOOD & LIQUOR, INC.",5859 S HALSTED ST 1,Package Goods,Retail Sales of Packaged Liquor,6806001000
19637,4 STAR 3358 SOUTHPORT LLC,3356-3358 N SOUTHPORT AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708002010
19638,Dickens' Liquors Inc.,719 S DEARBORN ST,Package Goods,Retail Sales of Packaged Liquor,8314002059
19640,SENZA LLC,2873-2875 N BROADWAY  1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1904021029
19715,COUNTRY HOUSE RESTAURANT MANAGERS LLC,3901 W 103RD ST 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,7402001009
19823,4 STAR 3358 SOUTHPORT LLC,3356-3358 N SOUTHPORT AVE 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1708002010
19824,COUNTRY HOUSE RESTAURANT MANAGERS LLC,3901 W 103RD ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,7402001009
19826,"GE, GE'S ON 5TH, INC.",3134 W FIFTH AVE,Tavern,Tavern - Consumption of Liquor on Premise,2521021004
19869,BURNHAM PARK YACHT CLUB,1500 S LYNN WHITE DR 1ST,Not-For-Profit Club,"Consumption of Liquor on Premises, Not for Profit",3302002010
