year,Census Block,Age Group,Crime Type,#Crimes
2016,102012,25-44,CRIMINAL DAMAGE,11
2015,102012,25-44,CRIMINAL TRESPASS,16
2016,102012,25-44,CRIMINAL TRESPASS,14
2015,102012,25-44,DECEPTIVE PRACTICE,7
2016,102012,25-44,DECEPTIVE PRACTICE,6
2015,102012,25-44,INTERFERENCE WITH PUBLIC OFFICER,2
2015,102012,25-44,INTIMIDATION,1
2015,102012,25-44,LIQUOR LAW VIOLATION,3
2016,102012,25-44,LIQUOR LAW VIOLATION,1
2015,102012,25-44,MOTOR VEHICLE THEFT,6
2016,102012,25-44,MOTOR VEHICLE THEFT,2
2015,102012,25-44,NARCOTICS,8
2016,102012,25-44,NARCOTICS,3
2015,102012,25-44,OFFENSE INVOLVING CHILDREN,1
2016,102012,25-44,OFFENSE INVOLVING CHILDREN,1
2015,102012,25-44,OTHER OFFENSE,11
2016,102012,25-44,OTHER OFFENSE,4
2015,102012,25-44,PUBLIC PEACE VIOLATION,1
2015,102012,25-44,ROBBERY,9
2016,102012,25-44,ROBBERY,7
2016,102012,25-44,SEX OFFENSE,1
2015,102012,25-44,THEFT,69
2016,102012,25-44,THEFT,40
2015,102012,25-44,WEAPONS VIOLATION,1
2016,102012,25-44,WEAPONS VIOLATION,1
2015,103002,25-44,ASSAULT,3
2015,103002,25-44,BATTERY,2
2016,103002,25-44,BATTERY,4
2015,103002,25-44,BURGLARY,4
2015,103002,25-44,CRIM SEXUAL ASSAULT,1
2015,103002,25-44,CRIMINAL DAMAGE,2
2016,103002,25-44,CRIMINAL DAMAGE,1
2015,103002,25-44,CRIMINAL TRESPASS,1
2016,103002,25-44,CRIMINAL TRESPASS,1
2015,103002,25-44,DECEPTIVE PRACTICE,3
2015,103002,25-44,MOTOR VEHICLE THEFT,1
2015,103002,25-44,NARCOTICS,1
2015,103002,25-44,OTHER OFFENSE,4
2016,103002,25-44,OTHER OFFENSE,3
2015,103002,25-44,ROBBERY,1
2015,103002,25-44,THEFT,7
2016,103002,25-44,THEFT,4
2015,201001,25-44,ARSON,1
2016,201001,25-44,ARSON,1
2015,201001,25-44,ASSAULT,20
2016,201001,25-44,ASSAULT,8
2015,201001,25-44,BATTERY,46
2016,201001,25-44,BATTERY,35
2015,201001,25-44,BURGLARY,20
2016,201001,25-44,BURGLARY,4
2015,201001,25-44,CRIM SEXUAL ASSAULT,4
2016,201001,25-44,CRIM SEXUAL ASSAULT,2
2015,201001,25-44,CRIMINAL DAMAGE,32
2016,201001,25-44,CRIMINAL DAMAGE,22
2015,201001,25-44,CRIMINAL TRESPASS,8
2016,201001,25-44,CRIMINAL TRESPASS,1
2015,201001,25-44,DECEPTIVE PRACTICE,9
2016,201001,25-44,DECEPTIVE PRACTICE,6
2008,201001,25-44,HOMICIDE,1
2015,201001,25-44,MOTOR VEHICLE THEFT,4
2016,201001,25-44,MOTOR VEHICLE THEFT,4
2015,201001,25-44,NARCOTICS,6
2016,201001,25-44,NARCOTICS,3
2015,201001,25-44,OFFENSE INVOLVING CHILDREN,4
2016,201001,25-44,OFFENSE INVOLVING CHILDREN,1
2015,201001,25-44,OTHER OFFENSE,16
2016,201001,25-44,OTHER OFFENSE,10
2016,201001,25-44,PUBLIC INDECENCY,1
2015,201001,25-44,ROBBERY,3
2016,201001,25-44,ROBBERY,10
2015,201001,25-44,SEX OFFENSE,3
2016,201001,25-44,SEX OFFENSE,2
2015,201001,25-44,THEFT,52
2016,201001,25-44,THEFT,19
2015,201001,25-44,WEAPONS VIOLATION,2
2016,201001,25-44,WEAPONS VIOLATION,1
2015,201002,45-64,ASSAULT,1
2015,201002,45-64,BATTERY,10
2016,201002,45-64,BATTERY,4
2015,201002,45-64,BURGLARY,1
2015,201002,45-64,CRIMINAL DAMAGE,3
2015,201002,45-64,CRIMINAL TRESPASS,4
2015,201002,45-64,DECEPTIVE PRACTICE,1
2016,201002,45-64,DECEPTIVE PRACTICE,2
2015,201002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,201002,45-64,NARCOTICS,7
2016,201002,45-64,NARCOTICS,2
2015,201002,45-64,OTHER OFFENSE,7
2016,201002,45-64,OTHER OFFENSE,1
2015,201002,45-64,ROBBERY,1
2016,201002,45-64,ROBBERY,1
2015,201002,45-64,THEFT,4
2016,201002,45-64,THEFT,3
2016,201002,45-64,WEAPONS VIOLATION,1
2015,202002,25-44,ASSAULT,5
2016,202002,25-44,ASSAULT,3
2015,202002,25-44,BATTERY,12
2016,202002,25-44,BATTERY,10
2015,202002,25-44,BURGLARY,5
2016,202002,25-44,BURGLARY,5
2015,202002,25-44,CRIM SEXUAL ASSAULT,1
2015,202002,25-44,CRIMINAL DAMAGE,12
2016,202002,25-44,CRIMINAL DAMAGE,5
2015,202002,25-44,CRIMINAL TRESPASS,3
2015,202002,25-44,DECEPTIVE PRACTICE,5
2016,202002,25-44,DECEPTIVE PRACTICE,3
2015,202002,25-44,MOTOR VEHICLE THEFT,7
2016,202002,25-44,MOTOR VEHICLE THEFT,2
2015,202002,25-44,NARCOTICS,2
2016,202002,25-44,NARCOTICS,2
2015,202002,25-44,OTHER OFFENSE,8
2016,202002,25-44,OTHER OFFENSE,2
2015,202002,25-44,ROBBERY,4
2016,202002,25-44,ROBBERY,2
2014,202002,25-44,THEFT,1
2015,202002,25-44,THEFT,15
2016,202002,25-44,THEFT,4
2018,202002,25-44,THEFT,1
2015,202003,45-64,ASSAULT,19
2016,202003,45-64,ASSAULT,8
2015,202003,45-64,BATTERY,60
2016,202003,45-64,BATTERY,34
2018,202003,45-64,BATTERY,1
2015,202003,45-64,BURGLARY,8
2016,202003,45-64,BURGLARY,8
2015,202003,45-64,CRIMINAL DAMAGE,31
2016,202003,45-64,CRIMINAL DAMAGE,19
2015,202003,45-64,CRIMINAL TRESPASS,12
2016,202003,45-64,CRIMINAL TRESPASS,8
2015,202003,45-64,DECEPTIVE PRACTICE,19
2016,202003,45-64,DECEPTIVE PRACTICE,10
2015,202003,45-64,GAMBLING,1
2009,202003,45-64,HOMICIDE,1
2015,202003,45-64,INTERFERENCE WITH PUBLIC OFFICER,3
2016,202003,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,202003,45-64,LIQUOR LAW VIOLATION,1
2015,202003,45-64,MOTOR VEHICLE THEFT,8
2016,202003,45-64,MOTOR VEHICLE THEFT,5
2015,202003,45-64,NARCOTICS,20
2016,202003,45-64,NARCOTICS,8
2016,202003,45-64,OBSCENITY,1
2015,202003,45-64,OFFENSE INVOLVING CHILDREN,1
2016,202003,45-64,OFFENSE INVOLVING CHILDREN,1
2015,202003,45-64,OTHER OFFENSE,19
2016,202003,45-64,OTHER OFFENSE,7
2015,202003,45-64,PUBLIC PEACE VIOLATION,3
2015,202003,45-64,ROBBERY,8
2016,202003,45-64,ROBBERY,7
2015,202003,45-64,SEX OFFENSE,1
2015,202003,45-64,THEFT,150
2016,202003,45-64,THEFT,83
2015,202003,45-64,WEAPONS VIOLATION,6
2015,203011,65+,BURGLARY,1
2016,203011,65+,BURGLARY,1
2015,203011,65+,CRIMINAL DAMAGE,6
2016,203011,65+,CRIMINAL DAMAGE,1
2015,203011,65+,CRIMINAL TRESPASS,1
2014,203011,65+,DECEPTIVE PRACTICE,1
2015,203011,65+,DECEPTIVE PRACTICE,1
2016,203011,65+,INTIMIDATION,1
2015,203011,65+,MOTOR VEHICLE THEFT,2
2015,203011,65+,THEFT,5
2016,203011,65+,THEFT,1
2015,203013,5-17,ARSON,1
2015,203013,5-17,ASSAULT,17
2016,203013,5-17,ASSAULT,10
2015,203013,5-17,BATTERY,49
2016,203013,5-17,BATTERY,24
2015,203013,5-17,BURGLARY,16
2016,203013,5-17,BURGLARY,11
2015,203013,5-17,CRIM SEXUAL ASSAULT,3
2016,203013,5-17,CRIM SEXUAL ASSAULT,2
2015,203013,5-17,CRIMINAL DAMAGE,25
2016,203013,5-17,CRIMINAL DAMAGE,19
2018,203013,5-17,CRIMINAL DAMAGE,1
2015,203013,5-17,CRIMINAL TRESPASS,2
2016,203013,5-17,CRIMINAL TRESPASS,1
2015,203013,5-17,DECEPTIVE PRACTICE,18
2016,203013,5-17,DECEPTIVE PRACTICE,10
2016,203013,5-17,INTERFERENCE WITH PUBLIC OFFICER,1
2015,203013,5-17,MOTOR VEHICLE THEFT,8
2016,203013,5-17,MOTOR VEHICLE THEFT,3
2015,203013,5-17,NARCOTICS,7
2016,203013,5-17,NARCOTICS,1
2015,203013,5-17,OFFENSE INVOLVING CHILDREN,1
2016,203013,5-17,OFFENSE INVOLVING CHILDREN,1
2014,203013,5-17,OTHER OFFENSE,2
2015,203013,5-17,OTHER OFFENSE,21
2016,203013,5-17,OTHER OFFENSE,8
2015,203013,5-17,ROBBERY,5
2016,203013,5-17,ROBBERY,5
2015,203013,5-17,SEX OFFENSE,1
2016,203013,5-17,SEX OFFENSE,1
2014,203013,5-17,THEFT,2
2015,203013,5-17,THEFT,62
2016,203013,5-17,THEFT,31
2015,203013,5-17,WEAPONS VIOLATION,2
2015,203021,45-64,ASSAULT,2
2016,203021,45-64,ASSAULT,1
2015,203021,45-64,BATTERY,5
2016,203021,45-64,BURGLARY,1
2015,203021,45-64,CRIMINAL DAMAGE,2
2016,203021,45-64,CRIMINAL DAMAGE,2
2015,203021,45-64,CRIMINAL TRESPASS,1
2015,203021,45-64,DECEPTIVE PRACTICE,1
2016,203021,45-64,DECEPTIVE PRACTICE,3
2015,203021,45-64,MOTOR VEHICLE THEFT,1
2015,203021,45-64,NARCOTICS,1
2016,203021,45-64,NARCOTICS,1
2015,203021,45-64,OTHER OFFENSE,2
2016,203021,45-64,OTHER OFFENSE,1
2015,203021,45-64,ROBBERY,3
2016,203021,45-64,ROBBERY,2
2016,203021,45-64,SEX OFFENSE,1
2015,203021,45-64,THEFT,6
2016,203021,45-64,THEFT,4
2015,204001,45-64,ASSAULT,6
2016,204001,45-64,ASSAULT,6
2015,204001,45-64,BATTERY,19
2016,204001,45-64,BATTERY,8
2015,204001,45-64,BURGLARY,7
2016,204001,45-64,BURGLARY,6
2016,204001,45-64,CRIM SEXUAL ASSAULT,1
2015,204001,45-64,CRIMINAL DAMAGE,16
2016,204001,45-64,CRIMINAL DAMAGE,7
2015,204001,45-64,CRIMINAL TRESPASS,1
2016,204001,45-64,CRIMINAL TRESPASS,3
2014,204001,45-64,DECEPTIVE PRACTICE,1
2015,204001,45-64,DECEPTIVE PRACTICE,9
2016,204001,45-64,DECEPTIVE PRACTICE,5
2015,204001,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,204001,45-64,MOTOR VEHICLE THEFT,4
2016,204001,45-64,MOTOR VEHICLE THEFT,1
2015,204001,45-64,NARCOTICS,2
2016,204001,45-64,NARCOTICS,5
2015,204001,45-64,OFFENSE INVOLVING CHILDREN,1
2015,204001,45-64,OTHER OFFENSE,8
2016,204001,45-64,OTHER OFFENSE,2
2016,204001,45-64,PROSTITUTION,1
2015,204001,45-64,PUBLIC PEACE VIOLATION,2
2015,204001,45-64,ROBBERY,3
2016,204001,45-64,ROBBERY,1
2015,204001,45-64,STALKING,1
2015,204001,45-64,THEFT,30
2016,204001,45-64,THEFT,10
2015,204002,45-64,ASSAULT,9
2015,204002,45-64,BATTERY,18
2016,204002,45-64,BATTERY,18
2015,204002,45-64,BURGLARY,8
2016,204002,45-64,BURGLARY,4
2015,204002,45-64,CRIM SEXUAL ASSAULT,1
2015,204002,45-64,CRIMINAL DAMAGE,14
2016,204002,45-64,CRIMINAL DAMAGE,6
2015,204002,45-64,CRIMINAL TRESPASS,1
2016,204002,45-64,CRIMINAL TRESPASS,6
2015,204002,45-64,DECEPTIVE PRACTICE,9
2016,204002,45-64,DECEPTIVE PRACTICE,9
2015,204002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,204002,45-64,MOTOR VEHICLE THEFT,3
2016,204002,45-64,MOTOR VEHICLE THEFT,2
2015,204002,45-64,NARCOTICS,2
2016,204002,45-64,NARCOTICS,2
2016,204002,45-64,OFFENSE INVOLVING CHILDREN,1
2015,204002,45-64,OTHER OFFENSE,7
2016,204002,45-64,OTHER OFFENSE,7
2016,204002,45-64,PROSTITUTION,1
2015,204002,45-64,ROBBERY,6
2016,204002,45-64,ROBBERY,8
2015,204002,45-64,SEX OFFENSE,1
2015,204002,45-64,THEFT,37
2016,204002,45-64,THEFT,12
2015,204002,45-64,WEAPONS VIOLATION,1
2015,206013,25-44,ARSON,1
2015,206013,25-44,ASSAULT,5
2016,206013,25-44,ASSAULT,3
2015,206013,25-44,BATTERY,18
2016,206013,25-44,BATTERY,9
2015,206013,25-44,BURGLARY,13
2016,206013,25-44,BURGLARY,3
2015,206013,25-44,CRIMINAL DAMAGE,26
2016,206013,25-44,CRIMINAL DAMAGE,6
2015,206013,25-44,CRIMINAL TRESPASS,5
2016,206013,25-44,CRIMINAL TRESPASS,1
2015,206013,25-44,DECEPTIVE PRACTICE,10
2016,206013,25-44,DECEPTIVE PRACTICE,3
2015,206013,25-44,MOTOR VEHICLE THEFT,7
2016,206013,25-44,MOTOR VEHICLE THEFT,2
2015,206013,25-44,NARCOTICS,3
2015,206013,25-44,OFFENSE INVOLVING CHILDREN,2
2015,206013,25-44,OTHER OFFENSE,5
2016,206013,25-44,OTHER OFFENSE,5
2015,206013,25-44,PUBLIC PEACE VIOLATION,2
2015,206013,25-44,ROBBERY,6
2016,206013,25-44,ROBBERY,4
2016,206013,25-44,SEX OFFENSE,2
2015,206013,25-44,THEFT,14
2016,206013,25-44,THEFT,4
2015,206013,25-44,WEAPONS VIOLATION,2
2015,207021,45-64,ASSAULT,3
2016,207021,45-64,ASSAULT,3
2015,207021,45-64,BATTERY,16
2016,207021,45-64,BATTERY,8
2015,207021,45-64,BURGLARY,5
2016,207021,45-64,BURGLARY,3
2015,207021,45-64,CRIMINAL DAMAGE,8
2015,207021,45-64,CRIMINAL TRESPASS,1
2015,207021,45-64,DECEPTIVE PRACTICE,10
2016,207021,45-64,DECEPTIVE PRACTICE,1
2015,207021,45-64,INTIMIDATION,1
2015,207021,45-64,LIQUOR LAW VIOLATION,1
2016,207021,45-64,LIQUOR LAW VIOLATION,1
2016,207021,45-64,MOTOR VEHICLE THEFT,2
2015,207021,45-64,NARCOTICS,5
2016,207021,45-64,NARCOTICS,3
2015,207021,45-64,OTHER OFFENSE,5
2016,207021,45-64,OTHER OFFENSE,2
2015,207021,45-64,PUBLIC PEACE VIOLATION,2
2015,207021,45-64,ROBBERY,4
2016,207021,45-64,ROBBERY,3
2015,207021,45-64,SEX OFFENSE,1
2015,207021,45-64,THEFT,39
2016,207021,45-64,THEFT,15
2015,207021,45-64,WEAPONS VIOLATION,1
2016,207021,45-64,WEAPONS VIOLATION,2
2015,207023,25-44,BATTERY,3
2015,207023,25-44,BURGLARY,1
2015,207023,25-44,DECEPTIVE PRACTICE,1
2016,207023,25-44,ROBBERY,1
2015,207023,25-44,THEFT,1
2015,208012,45-64,ASSAULT,9
2016,208012,45-64,ASSAULT,8
2015,208012,45-64,BATTERY,18
2016,208012,45-64,BATTERY,16
2015,208012,45-64,BURGLARY,7
2016,208012,45-64,BURGLARY,4
2015,208012,45-64,CRIMINAL DAMAGE,19
2016,208012,45-64,CRIMINAL DAMAGE,8
2015,208012,45-64,CRIMINAL TRESPASS,4
2014,208012,45-64,DECEPTIVE PRACTICE,1
2015,208012,45-64,DECEPTIVE PRACTICE,13
2016,208012,45-64,DECEPTIVE PRACTICE,8
2009,208012,45-64,HOMICIDE,1
2016,208012,45-64,KIDNAPPING,1
2015,208012,45-64,LIQUOR LAW VIOLATION,1
2015,208012,45-64,MOTOR VEHICLE THEFT,5
2016,208012,45-64,MOTOR VEHICLE THEFT,3
2015,208012,45-64,NARCOTICS,7
2016,208012,45-64,NARCOTICS,2
2015,208012,45-64,OTHER OFFENSE,9
2015,208012,45-64,PUBLIC PEACE VIOLATION,2
2015,208012,45-64,ROBBERY,5
2016,208012,45-64,ROBBERY,6
2016,208012,45-64,SEX OFFENSE,2
2015,208012,45-64,THEFT,53
2016,208012,45-64,THEFT,43
2016,208012,45-64,WEAPONS VIOLATION,1
2016,208024,25-44,ARSON,1
2015,208024,25-44,ASSAULT,28
2016,208024,25-44,ASSAULT,16
2015,208024,25-44,BATTERY,80
2016,208024,25-44,BATTERY,41
2015,208024,25-44,BURGLARY,30
2016,208024,25-44,BURGLARY,9
2015,208024,25-44,CRIM SEXUAL ASSAULT,1
2016,208024,25-44,CRIM SEXUAL ASSAULT,1
2015,208024,25-44,CRIMINAL DAMAGE,33
2016,208024,25-44,CRIMINAL DAMAGE,22
2015,208024,25-44,CRIMINAL TRESPASS,11
2016,208024,25-44,CRIMINAL TRESPASS,5
2014,208024,25-44,DECEPTIVE PRACTICE,2
2015,208024,25-44,DECEPTIVE PRACTICE,22
2016,208024,25-44,DECEPTIVE PRACTICE,20
2018,208024,25-44,DECEPTIVE PRACTICE,1
2015,208024,25-44,GAMBLING,1
2015,208024,25-44,INTERFERENCE WITH PUBLIC OFFICER,1
2015,208024,25-44,MOTOR VEHICLE THEFT,21
2016,208024,25-44,MOTOR VEHICLE THEFT,14
2015,208024,25-44,NARCOTICS,13
2016,208024,25-44,NARCOTICS,7
2015,208024,25-44,OFFENSE INVOLVING CHILDREN,1
2016,208024,25-44,OFFENSE INVOLVING CHILDREN,2
2015,208024,25-44,OTHER OFFENSE,23
2016,208024,25-44,OTHER OFFENSE,9
2018,208024,25-44,OTHER OFFENSE,1
2015,208024,25-44,PROSTITUTION,1
2015,208024,25-44,PUBLIC INDECENCY,1
2015,208024,25-44,PUBLIC PEACE VIOLATION,3
2015,208024,25-44,ROBBERY,17
2016,208024,25-44,ROBBERY,11
2015,208024,25-44,SEX OFFENSE,1
2016,208024,25-44,SEX OFFENSE,2
2016,208024,25-44,STALKING,1
2015,208024,25-44,THEFT,86
2016,208024,25-44,THEFT,52
2015,208024,25-44,WEAPONS VIOLATION,2
2016,208024,25-44,WEAPONS VIOLATION,2
2015,209013,25-44,BATTERY,2
2016,209013,25-44,CRIMINAL DAMAGE,1
2015,209013,25-44,NARCOTICS,1
2015,209013,25-44,THEFT,1
2015,302002,25-44,ASSAULT,1
2015,302002,25-44,BATTERY,5
2016,302002,25-44,BATTERY,3
2015,302002,25-44,BURGLARY,1
2016,302002,25-44,BURGLARY,1
2015,302002,25-44,CRIM SEXUAL ASSAULT,1
2016,302002,25-44,CRIMINAL TRESPASS,2
2015,302002,25-44,DECEPTIVE PRACTICE,5
2016,302002,25-44,DECEPTIVE PRACTICE,1
2015,302002,25-44,OTHER OFFENSE,1
2016,302002,25-44,OTHER OFFENSE,2
2016,302002,25-44,ROBBERY,1
2015,302002,25-44,THEFT,2
2016,302002,25-44,THEFT,6
2015,317001,25-44,BATTERY,9
2016,317001,25-44,BATTERY,3
2015,317001,25-44,CRIMINAL DAMAGE,3
2015,317001,25-44,DECEPTIVE PRACTICE,3
2015,317001,25-44,NARCOTICS,2
2016,317001,25-44,OTHER OFFENSE,1
2015,317001,25-44,ROBBERY,1
2016,317001,25-44,ROBBERY,2
2015,317001,25-44,THEFT,6
2016,317001,25-44,THEFT,3
2015,406002,25-44,ASSAULT,18
2016,406002,25-44,ASSAULT,3
2015,406002,25-44,BATTERY,49
2016,406002,25-44,BATTERY,22
2015,406002,25-44,BURGLARY,5
2016,406002,25-44,BURGLARY,1
2015,406002,25-44,CRIM SEXUAL ASSAULT,2
2015,406002,25-44,CRIMINAL DAMAGE,14
2016,406002,25-44,CRIMINAL DAMAGE,10
2015,406002,25-44,CRIMINAL TRESPASS,6
2016,406002,25-44,CRIMINAL TRESPASS,3
2014,406002,25-44,DECEPTIVE PRACTICE,1
2015,406002,25-44,DECEPTIVE PRACTICE,12
2016,406002,25-44,DECEPTIVE PRACTICE,7
2015,406002,25-44,LIQUOR LAW VIOLATION,1
2015,406002,25-44,MOTOR VEHICLE THEFT,7
2016,406002,25-44,MOTOR VEHICLE THEFT,4
2018,406002,25-44,MOTOR VEHICLE THEFT,1
2015,406002,25-44,NARCOTICS,24
2016,406002,25-44,NARCOTICS,10
2015,406002,25-44,OFFENSE INVOLVING CHILDREN,4
2015,406002,25-44,OTHER OFFENSE,10
2016,406002,25-44,OTHER OFFENSE,4
2015,406002,25-44,PUBLIC PEACE VIOLATION,4
2016,406002,25-44,PUBLIC PEACE VIOLATION,2
2015,406002,25-44,ROBBERY,8
2016,406002,25-44,ROBBERY,1
2015,406002,25-44,SEX OFFENSE,1
2016,406002,25-44,SEX OFFENSE,1
2015,406002,25-44,THEFT,41
2016,406002,25-44,THEFT,29
2015,406002,25-44,WEAPONS VIOLATION,1
2015,406003,25-44,ASSAULT,4
2016,406003,25-44,ASSAULT,2
2018,406003,25-44,ASSAULT,1
2015,406003,25-44,BATTERY,16
2016,406003,25-44,BATTERY,4
2015,406003,25-44,BURGLARY,5
2016,406003,25-44,BURGLARY,4
2015,406003,25-44,CRIM SEXUAL ASSAULT,1
2016,406003,25-44,CRIM SEXUAL ASSAULT,1
2015,406003,25-44,CRIMINAL DAMAGE,21
2016,406003,25-44,CRIMINAL DAMAGE,5
2015,406003,25-44,CRIMINAL TRESPASS,6
2016,406003,25-44,CRIMINAL TRESPASS,4
2015,406003,25-44,DECEPTIVE PRACTICE,10
2016,406003,25-44,DECEPTIVE PRACTICE,3
2015,406003,25-44,MOTOR VEHICLE THEFT,13
2016,406003,25-44,MOTOR VEHICLE THEFT,3
2015,406003,25-44,NARCOTICS,14
2015,406003,25-44,OFFENSE INVOLVING CHILDREN,1
2016,406003,25-44,OFFENSE INVOLVING CHILDREN,2
2014,406003,25-44,OTHER OFFENSE,1
2015,406003,25-44,OTHER OFFENSE,6
2016,406003,25-44,OTHER OFFENSE,4
2016,406003,25-44,PUBLIC PEACE VIOLATION,1
2015,406003,25-44,ROBBERY,1
2016,406003,25-44,ROBBERY,2
2015,406003,25-44,SEX OFFENSE,1
2016,406003,25-44,SEX OFFENSE,1
2015,406003,25-44,THEFT,38
2016,406003,25-44,THEFT,19
2015,406003,25-44,WEAPONS VIOLATION,2
2015,407001,25-44,ARSON,1
2015,407001,25-44,ASSAULT,6
2016,407001,25-44,ASSAULT,4
2015,407001,25-44,BATTERY,42
2016,407001,25-44,BATTERY,10
2015,407001,25-44,BURGLARY,6
2016,407001,25-44,BURGLARY,2
2015,407001,25-44,CRIMINAL DAMAGE,8
2016,407001,25-44,CRIMINAL DAMAGE,5
2015,407001,25-44,CRIMINAL TRESPASS,4
2016,407001,25-44,CRIMINAL TRESPASS,2
2014,407001,25-44,DECEPTIVE PRACTICE,1
2015,407001,25-44,DECEPTIVE PRACTICE,6
2016,407001,25-44,DECEPTIVE PRACTICE,7
2015,407001,25-44,MOTOR VEHICLE THEFT,2
2016,407001,25-44,MOTOR VEHICLE THEFT,1
2015,407001,25-44,NARCOTICS,12
2016,407001,25-44,NARCOTICS,2
2015,407001,25-44,OFFENSE INVOLVING CHILDREN,3
2015,407001,25-44,OTHER OFFENSE,6
2016,407001,25-44,OTHER OFFENSE,7
2015,407001,25-44,ROBBERY,2
2016,407001,25-44,ROBBERY,1
2015,407001,25-44,SEX OFFENSE,1
2015,407001,25-44,THEFT,25
2016,407001,25-44,THEFT,18
2015,508001,25-44,ASSAULT,6
2016,508001,25-44,ASSAULT,1
2015,508001,25-44,BATTERY,21
2016,508001,25-44,BATTERY,10
2015,508001,25-44,BURGLARY,8
2016,508001,25-44,BURGLARY,4
2015,508001,25-44,CRIM SEXUAL ASSAULT,1
2016,508001,25-44,CRIM SEXUAL ASSAULT,2
2015,508001,25-44,CRIMINAL DAMAGE,8
2016,508001,25-44,CRIMINAL DAMAGE,2
2015,508001,25-44,CRIMINAL TRESPASS,5
2016,508001,25-44,CRIMINAL TRESPASS,3
2015,508001,25-44,DECEPTIVE PRACTICE,9
2016,508001,25-44,DECEPTIVE PRACTICE,14
2016,508001,25-44,INTERFERENCE WITH PUBLIC OFFICER,1
2015,508001,25-44,LIQUOR LAW VIOLATION,2
2015,508001,25-44,MOTOR VEHICLE THEFT,3
2016,508001,25-44,MOTOR VEHICLE THEFT,1
2015,508001,25-44,NARCOTICS,4
2015,508001,25-44,OTHER OFFENSE,1
2015,508001,25-44,PUBLIC PEACE VIOLATION,1
2015,508001,25-44,ROBBERY,3
2016,508001,25-44,ROBBERY,3
2015,508001,25-44,SEX OFFENSE,2
2015,508001,25-44,THEFT,54
2016,508001,25-44,THEFT,23
2015,508001,25-44,WEAPONS VIOLATION,1
2016,508001,25-44,WEAPONS VIOLATION,1
2015,511001,25-44,ASSAULT,3
2015,511001,25-44,BATTERY,1
2015,511001,25-44,BURGLARY,6
2016,511001,25-44,BURGLARY,2
2015,511001,25-44,CRIMINAL DAMAGE,2
2016,511001,25-44,CRIMINAL DAMAGE,3
2015,511001,25-44,CRIMINAL TRESPASS,2
2015,511001,25-44,DECEPTIVE PRACTICE,3
2016,511001,25-44,DECEPTIVE PRACTICE,4
2015,511001,25-44,MOTOR VEHICLE THEFT,2
2018,511001,25-44,MOTOR VEHICLE THEFT,1
2015,511001,25-44,OFFENSE INVOLVING CHILDREN,2
2016,511001,25-44,OFFENSE INVOLVING CHILDREN,1
2015,511001,25-44,OTHER OFFENSE,2
2016,511001,25-44,OTHER OFFENSE,1
